投球数,球種,球速,結果,投手,打者,スコア,投球コース
1,ストレート,154km/h,ボール,杉山 一樹,吉田 正尚,3-3,top:22px; left:102px;
2,フォーク,138km/h,見逃し,杉山 一樹,吉田 正尚,3-3,top:80px; left:68px;
3,フォーク,142km/h,見逃し,杉山 一樹,吉田 正尚,3-3,top:90px; left:105px;
4,スライダー,126km/h,ファウル,杉山 一樹,吉田 正尚,3-3,top:140px; left:72px;
5,フォーク,148km/h,ファウル  [ヘルメットが飛ぶ],杉山 一樹,吉田 正尚,3-3,top:156px; left:108px;
6,ストレート,152km/h,中安,杉山 一樹,吉田 正尚,3-3,top:71px; left:89px;
1,ストレート,153km/h,ボール,杉山 一樹,杉本 裕太郎,3-3,top:5px; left:80px;
2,スライダー,136km/h,ボール,杉山 一樹,杉本 裕太郎,3-3,top:165px; left:47px;
3,スライダー,133km/h,見逃し,杉山 一樹,杉本 裕太郎,3-3,top:79px; left:56px;
4,ストレート,150km/h,ボール  [打者のけぞる],杉山 一樹,杉本 裕太郎,3-3,top:15px; left:120px;
5,ストレート,151km/h,四球,杉山 一樹,杉本 裕太郎,3-3,top:1px; left:120px;
1,カーブ,120km/h,ボール,武田 翔太,マッカーシー,3-3,top:23px; left:70px;
2,スライダー,143km/h,ボール,武田 翔太,マッカーシー,3-3,top:163px; left:48px;
3,ストレート,151km/h,見逃し,武田 翔太,マッカーシー,3-3,top:121px; left:34px;
4,カーブ,122km/h,ボール  [ワンバウンド],武田 翔太,マッカーシー,3-3,top:173px; left:16px;
5,フォーク,142km/h,ファウル,武田 翔太,マッカーシー,3-3,top:152px; left:48px;
6,ストレート,152km/h,四球,武田 翔太,マッカーシー,3-3,top:129px; left:17px;
1,ストレート,153km/h,ボール,武田 翔太,安達 了一,3-4,top:166px; left:8px;
2,フォーク,140km/h,ボール,武田 翔太,安達 了一,3-4,top:135px; left:15px;
3,ストレート,147km/h,見逃し,武田 翔太,安達 了一,3-4,top:119px; left:29px;
4,ストレート,148km/h,ファウル,武田 翔太,安達 了一,3-4,top:149px; left:32px;
5,カーブ,128km/h,ボール,武田 翔太,安達 了一,3-4,top:168px; left:14px;
6,ストレート,152km/h,四球  [悔しがる],武田 翔太,安達 了一,3-4,top:160px; left:15px;
1,スライダー,141km/h,ファウル,武田 翔太,紅林 弘太郎,3-5,top:158px; left:70px;
2,ストレート,151km/h,ファウル,武田 翔太,紅林 弘太郎,3-5,top:47px; left:56px;
3,カーブ,130km/h,ファウル,武田 翔太,紅林 弘太郎,3-5,top:160px; left:22px;
4,ストレート,150km/h,ファウル,武田 翔太,紅林 弘太郎,3-5,top:120px; left:58px;
5,フォーク,144km/h,ボール  [ワンバウンド],武田 翔太,紅林 弘太郎,3-5,top:173px; left:10px;
6,フォーク,145km/h,中安  [グラブ弾く],武田 翔太,紅林 弘太郎,3-5,top:150px; left:42px;
1,ストレート,145km/h,ボール,武田 翔太,頓宮 裕真,3-5,top:27px; left:124px;
2,ストレート,152km/h,空振り  [フルスイング],武田 翔太,頓宮 裕真,3-5,top:78px; left:98px;
3,ストレート,150km/h,ファウル,武田 翔太,頓宮 裕真,3-5,top:25px; left:89px;
4,ストレート,146km/h,空三振,武田 翔太,頓宮 裕真,3-5,top:23px; left:60px;
1,カーブ,120km/h,空振り,武田 翔太,石岡 諒太,3-5,top:131px; left:65px;
2,ストレート,151km/h,ファウル,武田 翔太,石岡 諒太,3-5,top:33px; left:92px;
3,フォーク,146km/h,ボール  [ワンバウンド],武田 翔太,石岡 諒太,3-5,top:172px; left:28px;
4,カーブ,123km/h,ボール,武田 翔太,石岡 諒太,3-5,top:16px; left:94px;
5,カーブ,128km/h,空三振  [悔しがる],武田 翔太,石岡 諒太,3-5,top:164px; left:70px;
1,カーブ,126km/h,見逃し,武田 翔太,宗 佑磨,3-5,top:136px; left:72px;
2,カーブ,126km/h,見逃し,武田 翔太,宗 佑磨,3-5,top:91px; left:60px;
3,ストレート,146km/h,ファウル,武田 翔太,宗 佑磨,3-5,top:32px; left:48px;
4,カーブ,127km/h,左飛,武田 翔太,宗 佑磨,3-5,top:151px; left:84px;
